Match Id,Round,W_name,W_seed,W_Wc,W_country,W_set1,W_set2,W_set3,W_set4,W_set5,L_name,L_seed,L_Wc,L_country,L_set1,L_set2,L_set3,L_set4,L_set5
2004_W_128_32,R128,Miss Zuzana Ondraskova,13,,CZE,7,6,,,,Miss Suchanun Viratprasert,,,THA,5,3,,,
2004_W_128_33,R128,Miss Barbara Rittner,9,,GER,6,7,,,,Miss Cristina Torrens-Valero,,,ESP,1,6,,,
2004_W_128_34,R128,Miss Maureen Drake,,,CAN,6,6,,,,Miss Alice Mackenzie,,1,GBR,1,2,,,
2004_W_128_35,R128,Miss Elena Tatarkova,,,UKR,6,6,,,,Miss Mariya Koryttseva,,,UKR,2,1,,,
2004_W_128_36,R128,Miss Stephanie Foretz,,,FRA,6,6,,,,Miss Lenka Nemeckova,24,,CZE,0,4,,,
2004_W_128_37,R128,Miss Yulia Beygelzimer,10,,UKR,6,6,,,,Miss Aiko Nakamura,,,JPN,4,4,,,
2004_W_128_38,R128,Miss Selima Sfar,,,TUN,6,6,,,,Miss Darija Jurak,,,CRO,3,4,,,
2004_W_128_39,R128,Miss Antonella Serra-Zanetti,,,ITA,6,6,,,,Miss Anastasia Yakimova,,,BLR,2,1,,,
2004_W_128_40,R128,Miss Eva Fislova,,,SVK,6,6,,,,Miss Conchita Martinez Granados,16,,ESP,2,4,,,
2004_W_128_41,R128,Miss Ivana Abramovic,,,CRO,7,6,,,,Miss Stephanie Gehrlein,11,,GER,6,0,,,
2004_W_128_42,R128,Miss Edina Gallovits,,,ROM,7,7,,,,Miss Lubomira Bacheva,,,BUL,5,6,,,
2004_W_128_43,R128,Miss Mi-Ra Jeon,,,KOR,6,2,6,,,Miss Zi Yan,,,CHN,4,6,0,,
2004_W_128_44,R128,Miss Julia Schruff,19,,GER,6,6,,,,Miss Sandra Kloesel,,,GER,3,4,,,
2004_W_128_45,R128,Miss Christina Wheeler,,,AUS,3,,,,,Miss Virginie Pichet,12,,FRA,3,,,,
2004_W_128_46,R128,Miss Elise Tamaela,,,NED,7,6,,,,Miss Anastassia Rodionova,,,RUS,6,2,,,
2004_W_128_47,R128,Miss Kirsten Flipkens,,1,BEL,6,6,,,,Miss Nathalie Vierin,,,ITA,0,4,,,
2004_W_128_48,R128,Miss Tzipora Obziler,23,,ISR,6,6,,,,Helen Fritche,,1,GBR,0,2,,,
2004_W_64_1,R64,Miss Roberta Vinci,1,,ITA,6,6,,,,Miss Lilia Osterloh,,,USA,4,1,,,
2004_W_64_2,R64,Miss Nuria Llagostera Vives,,,ESP,4,6,6,,,Miss Meilen Tu,,,USA,6,3,0,,
2004_W_64_3,R64,Miss Eugenia Linetskaya,,,RUS,6,6,,,,Miss Natalie Grandin,,,RSA,3,2,,,
2004_W_64_4,R64,Miss Angelique Widjaja,21,,INA,6,6,,,,Miss Alyona Bondarenko,,,UKR,4,1,,,
2004_W_64_5,R64,Miss Sofia Arvidsson,3,,SWE,6,3,8,,,Miss Libuse Prusova,,,CZE,3,6,6,,
2004_W_64_6,R64,Miss Tatiana Panova,14,,RUS,2,7,6,,,Miss Evie Dominikovic,,,AUS,6,5,3,,
2004_W_64_7,R64,Miss TianTian Sun,4,,CHN,4,6,6,,,Miss Natalia Gussoni,,,ARG,6,4,3,,
2004_W_64_8,R64,Miss Barbara Schwartz,,1,AUT,6,6,,,,Miss Marie-Eve Pelletier,,,CAN,0,0,,,
2004_W_64_9,R64,Miss Mashona Washington,5,,USA,6,7,,,,Miss Marta Domachowska,,,POL,4,6,,,
2004_W_64_10,R64,Miss Vilmarie Castellvi,,,PUR,7,6,,,,Miss Adriana Serra-Zanett,20,,ITA,6,3,,,
2004_W_64_11,R64,Miss Eva Birnerova,6,,CZE,3,6,6,,,Miss Bethanie Mattek,,,USA,6,1,1,,
2004_W_64_12,R64,Miss Alexandra Stevenson,15,,USA,7,3,10,,,Miss Galina Voskoboeva,,,RUS,6,6,8,,
2004_W_64_13,R64,Miss Virginie Razzano,7,,FRA,0,6,6,,,Miss Tatiana Poutchek,,,BLR,6,2,1,,
2004_W_64_14,R64,Miss Maret Ani,,,EST,6,6,,,,Miss Yoon-Jeong Cho,,,KOR,1,2,,,
2004_W_64_15,R64,Miss Jennifer Hopkins,,,USA,6,6,,,,Miss Capucine Rousseau,,,FRA,3,4,,,
2004_W_64_16,R64,Miss Jarmila Gajdosova,,,SVK,7,6,,,,Miss Zuzana Ondraskova,13,,CZE,6,3,,,
2004_W_64_17,R64,Miss Barbara Rittner,9,,GER,6,6,,,,Miss Maureen Drake,,,CAN,2,4,,,
2004_W_64_18,R64,Miss Stephanie Foretz,,,FRA,6,7,,,,Miss Elena Tatarkova,,,UKR,4,5,,,
2004_W_64_19,R64,Miss Yulia Beygelzimer,10,,UKR,7,6,,,,Miss Selima Sfar,,,TUN,5,4,,,
2004_W_64_20,R64,Miss Antonella Serra-Zanetti,,,ITA,6,6,,,,Miss Eva Fislova,,,SVK,3,2,,,
2004_W_64_21,R64,Miss Edina Gallovits,,,ROM,6,6,,,,Miss Ivana Abramovic,,,CRO,3,0,,,
2004_W_64_22,R64,Miss Mi-Ra Jeon,,,KOR,0,7,6,,,Miss Julia Schruff,19,,GER,6,6,3,,
2004_W_64_23,R64,Miss Christina Wheeler,,,AUS,4,6,6,,,Miss Elise Tamaela,,,NED,6,4,3,,
2004_W_64_24,R64,Miss Tzipora Obziler,23,,ISR,2,6,6,,,Miss Kirsten Flipkens,,1,BEL,6,0,2,,
2004_W_32_1,R32,Miss Nuria Llagostera Vives,,,ESP,2,7,6,,,Miss Roberta Vinci,1,,ITA,6,6,1,,
2004_W_32_2,R32,Miss Angelique Widjaja,21,,INA,4,7,6,,,Miss Eugenia Linetskaya,,,RUS,6,6,1,,
2004_W_32_3,R32,Miss Tatiana Panova,14,,RUS,2,6,6,,,Miss Sofia Arvidsson,3,,SWE,6,4,1,,
2004_W_32_4,R32,Miss TianTian Sun,4,,CHN,6,7,6,,,Miss Barbara Schwartz,,1,AUT,7,5,3,,
2004_W_32_5,R32,Miss Mashona Washington,5,,USA,6,2,6,,,Miss Vilmarie Castellvi,,,PUR,3,6,2,,
2004_W_32_6,R32,Miss Eva Birnerova,6,,CZE,7,7,,,,Miss Alexandra Stevenson,15,,USA,6,6,,,
2004_W_32_7,R32,Miss Virginie Razzano,7,,FRA,6,6,,,,Miss Maret Ani,,,EST,3,4,,,
2004_W_32_8,R32,Miss Jennifer Hopkins,,,USA,6,6,,,,Miss Jarmila Gajdosova,,,SVK,4,3,,,
2004_W_32_9,R32,Miss Stephanie Foretz,,,FRA,7,6,,,,Miss Barbara Rittner,9,,GER,5,2,,,
2004_W_32_10,R32,Miss Yulia Beygelzimer,10,,UKR,6,6,,,,Miss Antonella Serra-Zanetti,,,ITA,3,1,,,
2004_W_32_11,R32,Miss Edina Gallovits,,,ROM,6,4,8,,,Miss Mi-Ra Jeon,,,KOR,1,6,6,,
2004_W_32_12,R32,Miss Christina Wheeler,,,AUS,6,6,,,,Miss Tzipora Obziler,23,,ISR,4,3,,,
2009_M_128_1,R128,Andrea Stoppini,,,ITA,2,6,6,,,Sergiy Stakhovsky,1,,UKR,6,3,3,,
2009_M_128_2,R128,Marcus Willis,,1,GBR,7,7,,,,Amer Delic,,,USA,6,6,,,
2009_M_128_3,R128,Sam Warburg,,,USA,7,7,,,,Adrian Ungur,,,ROU,6,5,,,
2009_M_128_4,R128,Rajeev Ram,,,USA,6,7,,,,Lamine Ouahab,18,,ALG,4,6,,,
2009_M_128_5,R128,Simon Greul,2,,GER,7,6,,,,Kevin Anderson,,,RSA,6,1,,,
2009_M_128_6,R128,Dominik Meffert,,,GER,7,6,,,,Stefano Galvani,,,ITA,5,4,,,
2009_M_128_7,R128,Franco Ferreiro,,,BRA,6,6,,,,Jose De Armas,,,VEN,4,1,,,
2009_M_128_8,R128,Karol Beck,24,,SVK,6,6,,,,Kyu Tae Im,,,KOR,3,2,,,
2009_M_128_9,R128,Flavio Cipolla,3,,ITA,6,7,,,,David Marrero,,,ESP,2,6,,,
2009_M_128_10,R128,Daniel Munoz-De La Nava,,,ESP,7,5,6,,,Ricardo Mello,,,BRA,5,7,3,,
2009_M_128_11,R128,Xavier Malisse,,,BEL,7,7,,,,Rik De Voest,,,RSA,6,6,,,
2009_M_128_12,R128,Harel Levy,,,ISR,5,7,6,,,Chris Guccione,20,,AUS,7,6,3,,
2009_M_128_13,R128,Roko Karanusic,4,,CRO,6,7,,,,Julian Reister,,,GER,2,6,,,
2009_M_128_14,R128,Alexander Slabinsky,,1,GBR,6,6,,,,Adrian Cruciat,,,ROU,4,4,,,
2009_M_128_15,R128,Kristian Pless,,,DEN,7,4,6,,,Marsel Ilhan,,,TUR,6,6,4,,
2009_M_128_16,R128,Martin Fischer,,,AUT,6,3,6,,,Santiago Giraldo,19,,COL,3,6,3,,
2009_M_128_17,R128,Rui MacHado,5,,POR,6,6,,,,Giancarlo Petrazzuolo,,,ITA,1,4,,,
2009_M_128_18,R128,Lukas Lacko,,,SVK,1,6,6,,,Ryan Sweeting,,,USA,6,3,4,,
2009_M_128_19,R128,Caio Zampieri,,,BRA,6,6,,,,Juan-Pablo Amado,,,ARG,2,2,,,
2009_M_128_20,R128,Ricardo Hocevar,25,,BRA,7,3,6,,,Paolo Lorenzi,,,ITA,6,6,4,,
2009_M_128_21,R128,Thiago Alves,6,,BRA,7,4,6,,,Rogerio Dutra Da Silva,,,BRA,5,6,3,,
2009_M_128_22,R128,Tobias Kamke,,,GER,7,1,,,,Gabriel Moraru,,,ROU,5,0,,,
2009_M_128_23,R128,Alexander Peya,,,AUT,6,4,6,,,Joao Souza,,,BRA,4,6,2,,
2009_M_128_24,R128,Joshua Milton,,1,GBR,2,7,6,,,Alexandre Sidorenko,30,,FRA,6,6,1,,
2009_M_128_25,R128,Ilia Bozoljac,7,,SRB,6,6,6,,,Jiri Vanek,,,CZE,1,7,4,,
2009_M_128_26,R128,Sebastien De Chaunac,,,FRA,6,6,,,,Fernando Vicente,,,ESP,3,1,,,
2009_M_128_27,R128,Marco Chiudinelli,,,SUI,7,6,,,,Daniel Smethurst,,1,GBR,6,4,,,
2009_M_128_28,R128,Alejandro Falla,,,COL,6,6,,,,Donald Young,32,,USA,4,4,,,
2009_M_128_29,R128,Horacio Zeballos,8,,ARG,6,7,,,,Michel Koning,,,NED,4,6,,,
2009_M_128_30,R128,Edouard Roger-Vasselin,,,FRA,6,6,6,,,Scoville Jenkins,,,USA,7,3,0,,
2009_M_128_31,R128,Bernard Tomic,,1,AUS,7,7,,,,Alex Bogomolov Jr,,,USA,6,6,,,
2009_M_128_32,R128,Juan Pablo Brzezicki,29,,ARG,6,6,,,,Diego Alvarez,,,ARG,3,2,,,
2009_M_128_33,R128,Danai Udomchoke,9,,THA,6,6,,,,Frederik Nielsen,,,DEN,4,4,,,
2009_M_128_34,R128,Andreas Haider-Maurer,,,AUT,6,6,,,,Ivan Dodig,,,CRO,4,4,,,
2009_M_128_35,R128,Grega Zemlja,,,SLO,6,6,,,,Victor Estrella,,,DOM,4,2,,,
2009_M_128_36,R128,Sergei Bubka,,,UKR,6,7,,,,Lukas Rosol,22,,CZE,4,5,,,
2009_M_128_37,R128,Daniel Brands,10,,GER,6,6,,,,Bjorn Rehnquist,,,SWE,3,2,,,
2009_M_128_38,R128,Ruben Bemelmans,,,BEL,7,6,,,,Carlos Poch-Gradin,,,ESP,6,4,,,
2009_M_128_39,R128,Santiago Gonzalez,,,MEX,7,4,6,,,Giovanni Lapentti,,,ECU,6,6,3,,
2009_M_128_40,R128,Dominik Hrbaty,31,,SVK,7,4,6,,,Michael Lammer,,,SUI,6,6,4,,
2009_M_128_41,R128,Pablo Cuevas,11,,URU,2,6,6,,,Sebastian Decoud,,,ARG,6,2,4,,
2009_M_128_42,R128,Ryler Deheart,,,USA,6,6,,,,Marcel Felder,,,URU,2,3,,,
2009_M_128_43,R128,Peter Luczak,,,AUS,6,6,,,,Jaroslav Pospisil,,,CZE,3,2,,,
2009_M_128_44,R128,Taylor Dent,,1,USA,6,6,6,,,Olivier Rochus,17,,BEL,4,7,4,,
2009_M_128_45,R128,Alexandre Kudryavtsev,,,RUS,7,6,,,,Michail Elgin,12,,RUS,5,4,,,
2009_M_128_46,R128,Riccardo Ghedin,,,ITA,5,,,,,Izak Van Der Merwe,,,RSA,2,,,,
2009_M_128_47,R128,Marco Crugnola,,,ITA,6,2,7,,,Illya Marchenko,,,UKR,3,6,5,,
2009_M_128_48,R128,Pere Riba-Madrid,23,,ESP,6,6,,,,Kamil Capkovic,,,SVK,3,1,,,
2009_M_128_49,R128,Adrian Mannarino,13,,FRA,7,6,,,,Bruno Echagaray,,,MEX,6,3,,,
2009_M_128_50,R128,Stephane Robert,,,FRA,6,6,,,,Chris Eaton,,1,GBR,4,2,,,
2009_M_128_51,R128,Blaz Kavcic,,,SLO,3,6,6,,,Robert Smeets,,,AUS,6,1,4,,
2009_M_128_52,R128,Stephane Bohli,,,SUI,7,4,6,,,Olivier Patience,26,,FRA,5,6,4,,
2009_M_128_53,R128,Jean-Rene Lisnard,,,MON,6,6,,,,Somdev Devvarman,14,,IND,3,2,,,
2009_M_128_54,R128,Joseph Sirianni,,,AUS,6,3,6,,,Pavel Snobel,,,CZE,4,6,1,,
2009_M_128_55,R128,Luka Gregorc,,,SLO,6,6,,,,Andre Miele,,,BRA,4,4,,,
2009_M_128_56,R128,Brendan Evans,21,,USA,6,6,,,,Marinko Matosevic,,,AUS,4,2,,,
2009_M_128_57,R128,Go Soeda,,,JPN,6,3,11,,,Lukasz Kubot,15,,POL,4,6,9,,
2009_M_128_58,R128,Michael Yani,,,USA,6,6,,,,Marc Lopez,,,ESP,1,1,,,
2009_M_128_59,R128,Daniel Cox,,1,GBR,6,1,8,,,Conor Niland,,,IRL,3,6,6,,
2009_M_128_60,R128,Prakash Amritraj,28,,IND,6,6,,,,Antonio Veic,,,CRO,3,4,,,
2009_M_128_61,R128,Jesse Levine,16,,USA,6,6,7,,,Samuel Groth,,,AUS,4,7,5,,
2009_M_128_62,R128,Dieter Kindlmann,,,GER,6,6,,,,Richard Bloomfield,,1,GBR,4,0,,,
2009_M_128_63,R128,Matthias Bachinger,,,GER,6,6,,,,Todd Widom,,,USA,3,3,,,
2009_M_128_64,R128,Alexander Flock,,,GER,1,6,9,,,Tomas Tenconi,27,,ITA,6,4,7,,
2009_M_64_1,R64,Andrea Stoppini,,,ITA,6,6,,,,Marcus Willis,,1,GBR,2,4,,,
2009_M_64_2,R64,Rajeev Ram,,,USA,6,6,,,,Sam Warburg,,,USA,3,2,,,
2009_M_64_3,R64,Simon Greul,2,,GER,6,7,,,,Dominik Meffert,,,GER,4,5,,,
2009_M_64_4,R64,Karol Beck,24,,SVK,7,6,6,,,Franco Ferreiro,,,BRA,5,7,2,,
2009_M_64_5,R64,Daniel Munoz-De La Nava,,,ESP,7,5,8,,,Flavio Cipolla,3,,ITA,6,7,6,,
2009_M_64_6,R64,Xavier Malisse,,,BEL,6,3,6,,,Harel Levy,,,ISR,0,6,3,,
2009_M_64_7,R64,Roko Karanusic,4,,CRO,7,6,,,,Alexander Slabinsky,,1,GBR,6,1,,,
2009_M_64_8,R64,Martin Fischer,,,AUT,6,6,,,,Kristian Pless,,,DEN,2,4,,,
2009_M_64_9,R64,Lukas Lacko,,,SVK,1,6,8,,,Rui MacHado,5,,POR,6,2,6,,
2009_M_64_10,R64,Caio Zampieri,,,BRA,6,6,,,,Ricardo Hocevar,25,,BRA,4,4,,,
2009_M_64_11,R64,Thiago Alves,6,,BRA,6,7,,,,Tobias Kamke,,,GER,4,5,,,
2009_M_64_12,R64,Alexander Peya,,,AUT,3,6,6,,,Joshua Milton,,1,GBR,6,4,2,,
2009_M_64_13,R64,Sebastien De Chaunac,,,FRA,6,7,,,,Ilia Bozoljac,7,,SRB,3,6,,,
2009_M_64_14,R64,Alejandro Falla,,,COL,4,6,15,,,Marco Chiudinelli,,,SUI,6,4,13,,
2009_M_64_15,R64,Edouard Roger-Vasselin,,,FRA,7,6,,,,Horacio Zeballos,8,,ARG,6,3,,,
2009_M_64_16,R64,Bernard Tomic,,1,AUS,6,6,,,,Juan Pablo Brzezicki,29,,ARG,3,3,,,
2009_M_64_17,R64,Danai Udomchoke,9,,THA,4,6,8,,,Andreas Haider-Maurer,,,AUT,6,4,6,,
2009_M_64_18,R64,Grega Zemlja,,,SLO,6,6,6,,,Sergei Bubka,,,UKR,3,7,4,,
2009_M_64_19,R64,Ruben Bemelmans,,,BEL,6,7,,,,Daniel Brands,10,,GER,3,6,,,
2009_M_64_20,R64,Santiago Gonzalez,,,MEX,6,6,,,,Dominik Hrbaty,31,,SVK,4,4,,,
2009_M_64_21,R64,Pablo Cuevas,11,,URU,6,5,6,,,Ryler Deheart,,,USA,2,7,4,,
2009_M_64_22,R64,Taylor Dent,,1,USA,7,6,,,,Peter Luczak,,,AUS,6,3,,,
2009_M_64_23,R64,Riccardo Ghedin,,,ITA,5,7,6,,,Alexandre Kudryavtsev,,,RUS,7,6,2,,
2009_M_64_24,R64,Marco Crugnola,,,ITA,7,6,,,,Pere Riba-Madrid,23,,ESP,6,3,,,
2009_M_64_25,R64,Adrian Mannarino,13,,FRA,2,6,6,,,Stephane Robert,,,FRA,6,3,4,,
2009_M_64_26,R64,Blaz Kavcic,,,SLO,6,6,,,,Stephane Bohli,,,SUI,4,4,,,
2009_M_64_27,R64,Joseph Sirianni,,,AUS,6,6,,,,Jean-Rene Lisnard,,,MON,4,4,,,
2009_M_64_28,R64,Luka Gregorc,,,SLO,6,0,16,,,Brendan Evans,21,,USA,4,6,14,,
2009_M_64_29,R64,Michael Yani,,,USA,6,7,,,,Go Soeda,,,JPN,2,6,,,
2009_M_64_30,R64,Prakash Amritraj,28,,IND,6,6,,,,Daniel Cox,,1,GBR,3,3,,,
2009_M_64_31,R64,Jesse Levine,16,,USA,6,6,,,,Dieter Kindlmann,,,GER,2,3,,,
2009_M_64_32,R64,Matthias Bachinger,,,GER,6,7,,,,Alexander Flock,,,GER,3,5,,,
2009_M_32_1,R32,Rajeev Ram,,,USA,6,6,6,,,Andrea Stoppini,,,ITA,4,2,4,,
2009_M_32_2,R32,Simon Greul,2,,GER,5,7,6,7,,Karol Beck,24,,SVK,7,6,2,6,
2009_M_32_3,R32,Xavier Malisse,,,BEL,6,7,6,,,Daniel Munoz-De La Nava,,,ESP,3,6,0,,
2009_M_32_4,R32,Roko Karanusic,4,,CRO,6,6,4,6,,Martin Fischer,,,AUT,2,4,6,3,
2009_M_32_5,R32,Lukas Lacko,,,SVK,6,6,6,,,Caio Zampieri,,,BRA,2,4,2,,
2009_M_32_6,R32,Alexander Peya,,,AUT,7,6,6,,,Thiago Alves,6,,BRA,6,1,1,,
2009_M_32_7,R32,Alejandro Falla,,,COL,6,6,6,,,Sebastien De Chaunac,,,FRA,4,4,4,,
2009_M_32_8,R32,Edouard Roger-Vasselin,,,FRA,7,6,6,,,Bernard Tomic,,1,AUS,6,4,0,,
2009_M_32_9,R32,Grega Zemlja,,,SLO,6,7,6,,,Danai Udomchoke,9,,THA,4,6,4,,
2009_M_32_10,R32,Santiago Gonzalez,,,MEX,6,6,7,,,Ruben Bemelmans,,,BEL,3,3,6,,
2009_M_32_11,R32,Taylor Dent,,1,USA,6,7,6,6,,Pablo Cuevas,11,,URU,3,5,7,3,
2009_M_32_12,R32,Riccardo Ghedin,,,ITA,7,6,6,,,Marco Crugnola,,,ITA,6,3,1,,
2009_M_32_13,R32,Adrian Mannarino,13,,FRA,6,6,7,,,Blaz Kavcic,,,SLO,3,2,6,,
2009_M_32_14,R32,Luka Gregorc,,,SLO,6,6,7,,,Joseph Sirianni,,,AUS,4,4,5,,
2009_M_32_15,R32,Michael Yani,,,USA,3,7,6,6,,Prakash Amritraj,28,,IND,6,5,3,4,
2009_M_32_16,R32,Jesse Levine,16,,USA,6,7,6,,,Matthias Bachinger,,,GER,2,5,2,,
2008_M_128_1,R128,Gilles Muller,1,,LUX,6,6,6,,,Marsel Ilhan,,,TUR,7,4,4,,
2008_M_128_2,R128,Jaroslav Pospisil,,,CZE,6,7,,,,Fernando Vicente,,,ESP,3,6,,,
2008_M_128_3,R128,Brendan Evans,,,USA,6,6,,,,Marc Fornell-Mestres,,,ESP,2,2,,,
2008_M_128_4,R128,Andreas Beck,19,,GER,6,6,6,,,Paolo Lorenzi,,,ITA,1,7,3,,
2008_M_128_5,R128,Christophe Rochus,2,,BEL,6,6,,,,Michail Elgin,,,RUS,4,3,,,
2008_M_128_6,R128,Ryan Sweeting,,,USA,3,7,7,,,Scoville Jenkins,,,USA,6,6,5,,
2008_M_128_7,R128,Ricardo Mello,,,BRA,6,6,,,,Adrian Menendez-MacEiras,,,ESP,2,0,,,
2008_M_128_8,R128,Martin Fischer,,,AUT,6,6,6,,,Conor Niland,,,IRL,7,4,4,,
2008_M_128_9,R128,Frederico Gil,3,,POR,6,3,6,,,Dominik Meffert,,,GER,4,6,4,,
2008_M_128_10,R128,Noam Okun,,,ISR,6,6,,,,Ken Skupski,,1,GBR,4,2,,,
2008_M_128_11,R128,Wesley Moodie,,,RSA,6,7,,,,Sebastien De Chaunac,,,FRA,4,5,,,
2008_M_128_12,R128,Hugo Armando,,,USA,6,6,,,,Mikhail Ledovskikh,30,,RUS,3,4,,,
2008_M_128_13,R128,Philipp Petzschner,4,,GER,6,4,,,,Morgan Phillips,,1,GBR,2,2,,,
2008_M_128_14,R128,Daniel Brands,,,GER,6,6,,,,Cristian Villagran,,,ARG,3,4,,,
2008_M_128_15,R128,Martin Slanar,,,AUT,6,6,,,,Juan-Martin Aranguren,,,ARG,3,2,,,
2008_M_128_16,R128,Adrian Cruciat,24,,ROU,6,2,,,,Gabriel Trujillo-Soler,,,ESP,1,1,,,
2008_M_128_17,R128,Robert Kendrick,5,,USA,6,6,,,,Peter Polansky,,,CAN,4,2,,,
2008_M_128_18,R128,Joshua Goodall,,,GBR,6,6,,,,Ivo Klec,,,SVK,4,3,,,
2008_M_128_19,R128,Kevin Kim,,,USA,6,7,,,,Jonathan Marray,,1,GBR,4,5,,,
2008_M_128_20,R128,Alex Bogomolov Jr,,,USA,7,7,,,,Joseph Sirianni,29,,AUS,6,6,,,
2008_M_128_21,R128,Go Soeda,6,,JPN,6,6,,,,Francesco Aldi,,,ITA,4,4,,,
2008_M_128_22,R128,Michal Przysiezny,,,POL,7,7,,,,Rajeev Ram,,,USA,6,6,,,
2008_M_128_23,R128,Louk Sorensen,,,IRL,6,6,,,,Edward Seator,,1,GBR,2,1,,,
2008_M_128_24,R128,Edouard Roger-Vasselin,23,,FRA,6,6,,,,Augustin Gensse,,,FRA,2,0,,,
2008_M_128_25,R128,Kristian Pless,7,,DEN,6,7,6,,,Gary Lugassy,,,FRA,7,6,3,,
2008_M_128_26,R128,Izak Van Der Merwe,,,RSA,6,6,,,,Miguel Angel Lopez Jaen,,,ESP,3,1,,,
2008_M_128_27,R128,Lukas Dlouhy,,,CZE,6,7,,,,Woong-Sun Jun,,,KOR,4,6,,,
2008_M_128_28,R128,Frederic Niemeyer,,,CAN,6,7,,,,Harel Levy,27,,ISR,2,5,,,
2008_M_128_29,R128,Paul Capdeville,8,,CHI,3,6,6,,,Francesco Piccari,,,ITA,6,2,3,,
2008_M_128_30,R128,Alexandre Kudryavtsev,,,RUS,7,6,,,,Marc Lopez,,,ESP,5,4,,,
2008_M_128_31,R128,Pavel Chekhov,,,RUS,3,3,,,,Adrian Mannarino,,,FRA,6,2,,,
